country;education_expenditure;youth_unemployment_rate;net_migration_rate;iso_code;region;income_group;lending_category;name;alpha.2;alpha.3;country.code;iso_3166.2;continent;sub.region;intermediate.region;region.code;sub.region.code;intermediate.region.code
1;Cuba;.;Syria;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2;Micronesia,;.;British;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
3;Solomon;.;Luxembourg;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
4;Montserrat;.;Cayman;.;.;.;.;Afghanistan;AF;AFG;4;ISO 3166-2:AF;Asia;Southern Asia;;142;34;.
5;Norway;.;Singapore;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
6;Denmark;.;Anguilla;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
7;Iceland;.;Bahrain;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
8;Sierra;.;Turks;.;.;.;.;Albania;AL;ALB;8;ISO 3166-2:AL;Europe;Southern Europe;;150;39;.
9;Belize;.;Aruba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
10;Sweden;.;Monaco;.;.;.;.;Antarctica;AQ;ATA;10;ISO 3166-2:AQ;;;;.;.;.
11;Bolivia;.;Australia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
12;Eswatini;.;New;.;.;.;.;Algeria;DZ;DZA;12;ISO 3166-2:DZ;Africa;Northern Africa;;2;15;.
13;Costa;.;Cyprus;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
14;Lesotho;.;United;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
15;Bhutan;.;Spain;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
16;Oman;.;Malta;.;.;.;.;American Samoa;AS;ASM;16;ISO 3166-2:AS;Oceania;Polynesia;;9;61;.
17;Timor-Leste;.;San;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
18;Tunisia;.;Qatar;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
19;South;.;Sint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
20;Belgium;.;Canada;.;.;.;.;Andorra;AD;AND;20;ISO 3166-2:AD;Europe;Southern Europe;;150;39;.
21;Finland;.;Isle;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
22;Brazil;.;Sweden;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
23;New;.;Djibouti;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
24;Honduras;.;Liechtenstein;.;.;.;.;Angola;AO;AGO;24;ISO 3166-2:AO;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
25;Israel;.;Belgium;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
26;Puerto;.;Saudi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
27;Kyrgyzstan;.;Switzerland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
28;Zimbabwe;.;Norway;.;.;.;.;Antigua and Barbuda;AG;ATG;28;ISO 3166-2:AG;Americas;Latin America and the Caribbean;Caribbean;19;419;29
29;Cyprus;.;Gabon;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
30;Saint;.;Ireland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2018;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
31;Dominica;.;New;.;.;.;.;Azerbaijan;AZ;AZE;31;ISO 3166-2:AZ;Asia;Western Asia;;142;145;.
32;Argentina;.;Austria;.;.;.;.;Argentina;AR;ARG;32;ISO 3166-2:AR;Americas;Latin America and the Caribbean;South America;19;419;5
33;Aruba;.;Iceland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
34;France;.;Macau;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
35;Guyana;.;Italy;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
36;Mozambique;.;United;.;.;.;.;Australia;AU;AUS;36;ISO 3166-2:AU;Oceania;Australia and New Zealand;;9;53;.
37;Austria;.;Botswana;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
38;Burkina;.;Denmark;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
39;Chile;.;Finland;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
40;Moldova;.;United;.;.;.;.;Austria;AT;AUT;40;ISO 3166-2:AT;Europe;Western Europe;;150;155;.
41;Togo;.;Brunei;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
42;Ukraine;.;Czechia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
43;United;.;Jersey;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
44;Canada;.;Korea,;.;.;.;.;Bahamas;BS;BHS;44;ISO 3166-2:BS;Americas;Latin America and the Caribbean;Caribbean;19;419;29
45;Gaza;.;Ukraine;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
46;Kenya;.;Antigua;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
47;Uzbekistan;.;Israel;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
48;West;.;Guernsey;.;.;.;.;Bahrain;BH;BHR;48;ISO 3166-2:BH;Asia;Western Asia;;142;145;.
49;Cabo;.;Netherlands;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
50;Jamaica;.;Hong;.;.;.;.;Bangladesh;BD;BGD;50;ISO 3166-2:BD;Asia;Southern Asia;;142;34;.
51;Netherlands;.;Russia;.;.;.;.;Armenia;AM;ARM;51;ISO 3166-2:AM;Asia;Western Asia;;142;145;.
52;Tajikistan;.;Bermuda;.;.;.;.;Barbados;BB;BRB;52;ISO 3166-2:BB;Americas;Latin America and the Caribbean;Caribbean;19;419;29
53;Australia;.;Germany;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
54;Burundi;.;Slovenia;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
55;Nepal;.;Hungary;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
56;Sao;.;Cote;.;.;.;.;Belgium;BE;BEL;56;ISO 3166-2:BE;Europe;Western Europe;;150;155;.
57;Switzerland;.;Saint;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
58;Ecuador;.;France;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
